inst	length	sigma	t	BRKGA	BRKGALlama3InstructFree	BRKGAGemini2.5Flash	BRKGAGPT4.1Mini	BRKGALlama4Maverick
24	300	16	60	74.000000	74.000000	74.000000	74.000000	74.000000
25	300	16	60	66.000000	65.000000	66.000000	66.000000	66.000000
26	300	16	60	69.000000	69.000000	70.000000	69.000000	67.000000
27	300	16	60	66.000000	66.000000	66.000000	66.000000	66.000000
28	300	16	60	69.000000	70.000000	70.000000	66.000000	70.000000
29	300	16	60	71.000000	71.000000	71.000000	71.000000	71.000000
30	300	16	60	67.000000	67.000000	67.000000	67.000000	67.000000
1	300	32	60	65.000000	64.000000	61.000000	63.000000	66.000000
2	300	32	60	65.000000	64.000000	64.000000	62.000000	66.000000
3	300	32	60	68.000000	64.000000	67.000000	63.000000	68.000000
4	300	32	60	67.000000	62.000000	67.000000	67.000000	69.000000
5	300	32	60	70.000000	69.000000	70.000000	69.000000	69.000000
6	300	32	60	66.000000	66.000000	66.000000	66.000000	68.000000
7	300	32	60	63.000000	65.000000	63.000000	58.000000	66.000000
8	300	32	60	62.000000	65.000000	63.000000	63.000000	65.000000
9	300	32	60	60.000000	64.000000	66.000000	66.000000	64.000000
10	300	32	60	72.000000	71.000000	74.000000	70.000000	75.000000
11	300	32	60	73.000000	74.000000	75.000000	76.000000	74.000000
12	300	32	60	67.000000	66.000000	66.000000	67.000000	67.000000
13	300	32	60	66.000000	71.000000	69.000000	70.000000	69.000000
14	300	32	60	67.000000	63.000000	63.000000	61.000000	66.000000
15	300	32	60	63.000000	64.000000	69.000000	65.000000	68.000000
16	300	32	60	66.000000	66.000000	66.000000	64.000000	67.000000
17	300	32	60	72.000000	69.000000	72.000000	70.000000	73.000000
18	300	32	60	69.000000	67.000000	66.000000	67.000000	66.000000
19	300	32	60	62.000000	65.000000	64.000000	63.000000	64.000000
20	300	32	60	68.000000	65.000000	66.000000	67.000000	62.000000
21	300	32	60	66.000000	67.000000	65.000000	66.000000	67.000000
22	300	32	60	65.000000	66.000000	66.000000	66.000000	66.000000
23	300	32	60	63.000000	66.000000	65.000000	63.000000	66.000000
24	300	32	60	69.000000	68.000000	64.000000	68.000000	66.000000
25	300	32	60	67.000000	66.000000	61.000000	65.000000	69.000000
26	300	32	60	57.000000	69.000000	69.000000	68.000000	69.000000
27	300	32	60	64.000000	68.000000	67.000000	68.000000	69.000000
28	300	32	60	69.000000	66.000000	69.000000	70.000000	70.000000
29	300	32	60	58.000000	65.000000	62.000000	63.000000	63.000000
30	300	32	60	62.000000	69.000000	70.000000	67.000000	72.000000
1	500	2	100	265.000000	265.000000	265.000000	265.000000	265.000000
2	500	2	100	263.000000	263.000000	263.000000	263.000000	263.000000
3	500	2	100	260.000000	260.000000	260.000000	260.000000	260.000000
4	500	2	100	275.000000	275.000000	275.000000	275.000000	275.000000
5	500	2	100	263.000000	263.000000	263.000000	263.000000	263.000000
6	500	2	100	289.000000	289.000000	289.000000	289.000000	289.000000
7	500	2	100	271.000000	271.000000	271.000000	271.000000	271.000000
8	500	2	100	293.000000	293.000000	293.000000	293.000000	293.000000
9	500	2	100	288.000000	288.000000	288.000000	288.000000	288.000000
10	500	2	100	283.000000	283.000000	283.000000	283.000000	283.000000
11	500	2	100	276.000000	276.000000	276.000000	276.000000	276.000000
12	500	2	100	263.000000	263.000000	263.000000	263.000000	263.000000
13	500	2	100	272.000000	272.000000	272.000000	272.000000	272.000000
14	500	2	100	265.000000	265.000000	265.000000	265.000000	265.000000
15	500	2	100	274.000000	274.000000	274.000000	274.000000	274.000000
16	500	2	100	266.000000	266.000000	266.000000	266.000000	266.000000
17	500	2	100	278.000000	278.000000	278.000000	278.000000	278.000000
18	500	2	100	266.000000	266.000000	266.000000	266.000000	266.000000
19	500	2	100	270.000000	270.000000	270.000000	270.000000	270.000000
20	500	2	100	270.000000	270.000000	270.000000	270.000000	270.000000
21	500	2	100	266.000000	266.000000	266.000000	266.000000	266.000000
22	500	2	100	268.000000	268.000000	268.000000	268.000000	268.000000
23	500	2	100	260.000000	260.000000	260.000000	260.000000	260.000000
24	500	2	100	275.000000	275.000000	275.000000	275.000000	275.000000
25	500	2	100	273.000000	273.000000	273.000000	273.000000	273.000000
26	500	2	100	268.000000	268.000000	268.000000	268.000000	268.000000
27	500	2	100	279.000000	279.000000	279.000000	279.000000	279.000000
28	500	2	100	270.000000	270.000000	270.000000	270.000000	270.000000
29	500	2	100	265.000000	265.000000	265.000000	265.000000	265.000000
30	500	2	100	276.000000	276.000000	276.000000	276.000000	276.000000
1	500	4	100	159.000000	159.000000	159.000000	159.000000	159.000000
2	500	4	100	158.000000	158.000000	158.000000	158.000000	158.000000
3	500	4	100	161.000000	161.000000	161.000000	161.000000	161.000000
4	500	4	100	176.000000	176.000000	176.000000	176.000000	176.000000
5	500	4	100	160.000000	160.000000	160.000000	160.000000	160.000000
6	500	4	100	158.000000	158.000000	158.000000	158.000000	158.000000
7	500	4	100	175.000000	175.000000	175.000000	175.000000	175.000000
8	500	4	100	164.000000	164.000000	164.000000	164.000000	164.000000
9	500	4	100	172.000000	172.000000	172.000000	172.000000	172.000000
10	500	4	100	158.000000	158.000000	158.000000	158.000000	158.000000
11	500	4	100	157.000000	157.000000	157.000000	157.000000	157.000000
12	500	4	100	162.000000	162.000000	162.000000	162.000000	162.000000
13	500	4	100	157.000000	157.000000	157.000000	157.000000	157.000000
14	500	4	100	164.000000	164.000000	164.000000	164.000000	164.000000
15	500	4	100	163.000000	163.000000	163.000000	163.000000	163.000000
16	500	4	100	160.000000	160.000000	160.000000	160.000000	160.000000
17	500	4	100	157.000000	157.000000	157.000000	157.000000	157.000000
18	500	4	100	158.000000	158.000000	158.000000	158.000000	158.000000
19	500	4	100	172.000000	172.000000	172.000000	172.000000	172.000000
20	500	4	100	156.000000	156.000000	156.000000	156.000000	156.000000
21	500	4	100	170.000000	170.000000	170.000000	170.000000	170.000000
22	500	4	100	156.000000	156.000000	156.000000	155.000000	156.000000
23	500	4	100	176.000000	176.000000	176.000000	176.000000	176.000000
24	500	4	100	153.000000	153.000000	153.000000	153.000000	153.000000
25	500	4	100	164.000000	164.000000	164.000000	164.000000	164.000000
26	500	4	100	165.000000	165.000000	165.000000	165.000000	165.000000
27	500	4	100	173.000000	173.000000	173.000000	173.000000	173.000000
28	500	4	100	158.000000	158.000000	158.000000	158.000000	158.000000
29	500	4	100	160.000000	160.000000	160.000000	160.000000	160.000000
30	500	4	100	161.000000	161.000000	161.000000	161.000000	161.000000
1	500	8	100	106.000000	104.000000	106.000000	106.000000	103.000000
2	500	8	100	108.000000	109.000000	109.000000	108.000000	108.000000
3	500	8	100	116.000000	117.000000	117.000000	117.000000	117.000000
4	500	8	100	112.000000	113.000000	113.000000	113.000000	113.000000
5	500	8	100	114.000000	114.000000	114.000000	114.000000	114.000000
6	500	8	100	105.000000	106.000000	106.000000	106.000000	106.000000
7	500	8	100	114.000000	114.000000	114.000000	114.000000	114.000000
8	500	8	100	114.000000	115.000000	115.000000	115.000000	115.000000
9	500	8	100	107.000000	107.000000	107.000000	107.000000	107.000000
10	500	8	100	107.000000	107.000000	107.000000	105.000000	107.000000
11	500	8	100	109.000000	109.000000	109.000000	109.000000	109.000000
12	500	8	100	117.000000	117.000000	118.000000	117.000000	118.000000
13	500	8	100	110.000000	110.000000	110.000000	110.000000	110.000000
14	500	8	100	111.000000	111.000000	110.000000	111.000000	111.000000
15	500	8	100	111.000000	111.000000	111.000000	111.000000	111.000000
16	500	8	100	103.000000	103.000000	104.000000	104.000000	104.000000
17	500	8	100	109.000000	112.000000	112.000000	110.000000	112.000000
18	500	8	100	106.000000	106.000000	106.000000	106.000000	106.000000
19	500	8	100	117.000000	119.000000	119.000000	119.000000	119.000000
20	500	8	100	117.000000	117.000000	117.000000	117.000000	117.000000
21	500	8	100	111.000000	111.000000	111.000000	111.000000	111.000000
22	500	8	100	111.000000	112.000000	111.000000	111.000000	112.000000
23	500	8	100	110.000000	110.000000	110.000000	110.000000	110.000000
24	500	8	100	106.000000	106.000000	106.000000	106.000000	107.000000
25	500	8	100	98.000000	104.000000	105.000000	105.000000	105.000000
26	500	8	100	112.000000	112.000000	112.000000	112.000000	112.000000
27	500	8	100	104.000000	104.000000	104.000000	104.000000	104.000000
28	500	8	100	107.000000	109.000000	108.000000	105.000000	109.000000
29	500	8	100	106.000000	106.000000	106.000000	106.000000	106.000000
30	500	8	100	109.000000	109.000000	109.000000	109.000000	109.000000
1	500	16	100	92.000000	93.000000	93.000000	94.000000	94.000000
2	500	16	100	90.000000	91.000000	90.000000	91.000000	91.000000
3	500	16	100	85.000000	88.000000	88.000000	86.000000	86.000000
4	500	16	100	91.000000	92.000000	92.000000	91.000000	92.000000
5	500	16	100	89.000000	89.000000	91.000000	91.000000	90.000000
6	500	16	100	87.000000	87.000000	85.000000	87.000000	90.000000
7	500	16	100	94.000000	94.000000	92.000000	94.000000	94.000000
8	500	16	100	89.000000	90.000000	90.000000	90.000000	88.000000
9	500	16	100	86.000000	87.000000	87.000000	80.000000	88.000000
10	500	16	100	88.000000	88.000000	88.000000	87.000000	88.000000
11	500	16	100	93.000000	93.000000	93.000000	93.000000	89.000000
12	500	16	100	88.000000	91.000000	91.000000	91.000000	91.000000
13	500	16	100	89.000000	85.000000	89.000000	89.000000	89.000000
14	500	16	100	90.000000	84.000000	89.000000	90.000000	90.000000
15	500	16	100	88.000000	90.000000	90.000000	90.000000	89.000000
16	500	16	100	93.000000	96.000000	95.000000	96.000000	95.000000
17	500	16	100	92.000000	89.000000	90.000000	92.000000	92.000000
18	500	16	100	94.000000	91.000000	91.000000	91.000000	91.000000
19	500	16	100	91.000000	92.000000	93.000000	93.000000	93.000000
20	500	16	100	92.000000	91.000000	90.000000	91.000000	91.000000
21	500	16	100	86.000000	87.000000	90.000000	92.000000	93.000000
22	500	16	100	93.000000	91.000000	92.000000	93.000000	93.000000
23	500	16	100	94.000000	94.000000	95.000000	94.000000	94.000000
24	500	16	100	98.000000	94.000000	94.000000	94.000000	95.000000
25	500	16	100	90.000000	90.000000	89.000000	89.000000	90.000000
26	500	16	100	83.000000	82.000000	87.000000	84.000000	87.000000
27	500	16	100	97.000000	96.000000	94.000000	91.000000	96.000000
28	500	16	100	93.000000	92.000000	93.000000	93.000000	92.000000
29	500	16	100	91.000000	90.000000	91.000000	88.000000	91.000000
30	500	16	100	91.000000	93.000000	92.000000	93.000000	93.000000
1	500	32	100	79.000000	82.000000	80.000000	83.000000	82.000000
2	500	32	100	84.000000	81.000000	80.000000	78.000000	87.000000
3	500	32	100	79.000000	84.000000	92.000000	90.000000	93.000000
4	500	32	100	78.000000	87.000000	85.000000	84.000000	87.000000
5	500	32	100	82.000000	87.000000	85.000000	83.000000	89.000000
6	500	32	100	91.000000	93.000000	88.000000	87.000000	90.000000
7	500	32	100	89.000000	92.000000	87.000000	90.000000	88.000000
8	500	32	100	90.000000	86.000000	78.000000	86.000000	88.000000
9	500	32	100	90.000000	90.000000	93.000000	86.000000	90.000000
10	500	32	100	86.000000	88.000000	85.000000	84.000000	87.000000
11	500	32	100	86.000000	83.000000	80.000000	80.000000	86.000000
12	500	32	100	84.000000	85.000000	89.000000	85.000000	87.000000
13	500	32	100	85.000000	89.000000	90.000000	87.000000	89.000000
14	500	32	100	87.000000	85.000000	87.000000	87.000000	88.000000
15	500	32	100	83.000000	89.000000	85.000000	90.000000	92.000000
16	500	32	100	84.000000	87.000000	88.000000	87.000000	89.000000
17	500	32	100	87.000000	85.000000	85.000000	83.000000	91.000000
18	500	32	100	94.000000	90.000000	92.000000	96.000000	89.000000
19	500	32	100	93.000000	90.000000	90.000000	89.000000	93.000000
20	500	32	100	76.000000	78.000000	85.000000	84.000000	83.000000
21	500	32	100	81.000000	87.000000	80.000000	83.000000	85.000000
22	500	32	100	84.000000	86.000000	85.000000	86.000000	87.000000
23	500	32	100	87.000000	85.000000	87.000000	89.000000	89.000000
24	500	32	100	86.000000	79.000000	83.000000	83.000000	87.000000
25	500	32	100	85.000000	85.000000	82.000000	81.000000	79.000000
26	500	32	100	86.000000	87.000000	85.000000	87.000000	88.000000
27	500	32	100	84.000000	87.000000	90.000000	82.000000	79.000000
28	500	32	100	81.000000	82.000000	85.000000	82.000000	82.000000
29	500	32	100	86.000000	84.000000	86.000000	87.000000	84.000000
30	500	32	100	79.000000	89.000000	86.000000	86.000000	87.000000
1	1000	2	200	530.000000	530.000000	530.000000	530.000000	530.000000
2	1000	2	200	551.000000	551.000000	551.000000	551.000000	551.000000
3	1000	2	200	536.000000	536.000000	536.000000	536.000000	536.000000
4	1000	2	200	529.000000	529.000000	529.000000	529.000000	529.000000
5	1000	2	200	533.000000	533.000000	533.000000	533.000000	533.000000
6	1000	2	200	530.000000	530.000000	530.000000	530.000000	530.000000
7	1000	2	200	527.000000	527.000000	527.000000	527.000000	527.000000
8	1000	2	200	530.000000	530.000000	530.000000	530.000000	530.000000
9	1000	2	200	520.000000	520.000000	520.000000	520.000000	520.000000
10	1000	2	200	533.000000	533.000000	533.000000	533.000000	533.000000
11	1000	2	200	537.000000	537.000000	537.000000	537.000000	537.000000
12	1000	2	200	524.000000	524.000000	524.000000	524.000000	524.000000
13	1000	2	200	522.000000	522.000000	522.000000	522.000000	522.000000
14	1000	2	200	521.000000	521.000000	521.000000	521.000000	521.000000
15	1000	2	200	516.000000	516.000000	516.000000	516.000000	516.000000
16	1000	2	200	524.000000	524.000000	524.000000	524.000000	524.000000
17	1000	2	200	517.000000	517.000000	517.000000	517.000000	517.000000
18	1000	2	200	536.000000	536.000000	536.000000	536.000000	536.000000
19	1000	2	200	529.000000	529.000000	529.000000	529.000000	529.000000
20	1000	2	200	534.000000	534.000000	534.000000	534.000000	534.000000
21	1000	2	200	523.000000	523.000000	523.000000	523.000000	523.000000
22	1000	2	200	527.000000	527.000000	527.000000	527.000000	527.000000
23	1000	2	200	541.000000	541.000000	541.000000	541.000000	541.000000
24	1000	2	200	529.000000	529.000000	529.000000	529.000000	529.000000
25	1000	2	200	550.000000	550.000000	550.000000	550.000000	550.000000
26	1000	2	200	522.000000	522.000000	522.000000	522.000000	522.000000
27	1000	2	200	527.000000	527.000000	527.000000	527.000000	527.000000
28	1000	2	200	542.000000	542.000000	542.000000	542.000000	542.000000
29	1000	2	200	528.000000	528.000000	528.000000	528.000000	528.000000
30	1000	2	200	539.000000	539.000000	539.000000	539.000000	539.000000
1	1000	4	200	293.000000	293.000000	293.000000	293.000000	293.000000
2	1000	4	200	290.000000	290.000000	290.000000	290.000000	290.000000
3	1000	4	200	305.000000	305.000000	305.000000	305.000000	305.000000
4	1000	4	200	302.000000	302.000000	302.000000	302.000000	302.000000
5	1000	4	200	301.000000	301.000000	301.000000	301.000000	301.000000
6	1000	4	200	297.000000	297.000000	297.000000	297.000000	297.000000
7	1000	4	200	309.000000	309.000000	309.000000	309.000000	309.000000
8	1000	4	200	316.000000	316.000000	316.000000	316.000000	316.000000
9	1000	4	200	309.000000	309.000000	309.000000	309.000000	309.000000
10	1000	4	200	317.000000	317.000000	317.000000	317.000000	317.000000
11	1000	4	200	297.000000	297.000000	297.000000	297.000000	297.000000
12	1000	4	200	296.000000	296.000000	296.000000	296.000000	296.000000
13	1000	4	200	300.000000	300.000000	300.000000	300.000000	300.000000
14	1000	4	200	306.000000	306.000000	306.000000	306.000000	306.000000
15	1000	4	200	301.000000	301.000000	301.000000	301.000000	301.000000
16	1000	4	200	306.000000	306.000000	306.000000	306.000000	306.000000
17	1000	4	200	295.000000	295.000000	295.000000	295.000000	295.000000
18	1000	4	200	311.000000	311.000000	311.000000	311.000000	311.000000
19	1000	4	200	314.000000	311.000000	314.000000	314.000000	311.000000
20	1000	4	200	290.000000	290.000000	290.000000	290.000000	290.000000
21	1000	4	200	299.000000	299.000000	299.000000	299.000000	299.000000
22	1000	4	200	293.000000	293.000000	293.000000	293.000000	293.000000
23	1000	4	200	293.000000	293.000000	293.000000	293.000000	293.000000
24	1000	4	200	306.000000	306.000000	306.000000	306.000000	306.000000
25	1000	4	200	298.000000	298.000000	298.000000	298.000000	298.000000
26	1000	4	200	289.000000	289.000000	289.000000	289.000000	289.000000
27	1000	4	200	297.000000	297.000000	297.000000	297.000000	297.000000
28	1000	4	200	306.000000	306.000000	306.000000	306.000000	306.000000
29	1000	4	200	312.000000	312.000000	312.000000	312.000000	312.000000
30	1000	4	200	285.000000	285.000000	285.000000	285.000000	285.000000
1	1000	8	200	188.000000	188.000000	188.000000	188.000000	188.000000
2	1000	8	200	200.000000	200.000000	200.000000	200.000000	200.000000
3	1000	8	200	182.000000	182.000000	182.000000	183.000000	182.000000
4	1000	8	200	188.000000	188.000000	188.000000	188.000000	192.000000
5	1000	8	200	192.000000	193.000000	193.000000	193.000000	193.000000
6	1000	8	200	195.000000	195.000000	195.000000	192.000000	195.000000
7	1000	8	200	185.000000	185.000000	185.000000	192.000000	192.000000
8	1000	8	200	189.000000	189.000000	192.000000	192.000000	192.000000
9	1000	8	200	200.000000	202.000000	202.000000	202.000000	202.000000
10	1000	8	200	190.000000	193.000000	190.000000	193.000000	189.000000
11	1000	8	200	194.000000	194.000000	194.000000	194.000000	194.000000
12	1000	8	200	197.000000	197.000000	196.000000	196.000000	197.000000
13	1000	8	200	186.000000	186.000000	186.000000	186.000000	186.000000
14	1000	8	200	201.000000	201.000000	201.000000	201.000000	201.000000
15	1000	8	200	187.000000	189.000000	189.000000	189.000000	187.000000
16	1000	8	200	194.000000	194.000000	193.000000	195.000000	193.000000
17	1000	8	200	191.000000	192.000000	190.000000	192.000000	192.000000
18	1000	8	200	200.000000	199.000000	200.000000	205.000000	205.000000
19	1000	8	200	189.000000	190.000000	191.000000	190.000000	191.000000
20	1000	8	200	191.000000	191.000000	191.000000	190.000000	191.000000
21	1000	8	200	190.000000	190.000000	190.000000	190.000000	190.000000
22	1000	8	200	195.000000	195.000000	195.000000	195.000000	195.000000
23	1000	8	200	187.000000	185.000000	186.000000	187.000000	187.000000
24	1000	8	200	190.000000	191.000000	191.000000	191.000000	191.000000
25	1000	8	200	193.000000	193.000000	193.000000	193.000000	193.000000
26	1000	8	200	186.000000	186.000000	186.000000	186.000000	186.000000
27	1000	8	200	190.000000	190.000000	190.000000	190.000000	191.000000
28	1000	8	200	191.000000	191.000000	191.000000	191.000000	189.000000
29	1000	8	200	186.000000	186.000000	186.000000	186.000000	186.000000
30	1000	8	200	183.000000	182.000000	183.000000	186.000000	184.000000
1	1000	16	200	136.000000	133.000000	135.000000	134.000000	135.000000
2	1000	16	200	142.000000	142.000000	140.000000	142.000000	136.000000
3	1000	16	200	140.000000	139.000000	141.000000	140.000000	138.000000
4	1000	16	200	152.000000	156.000000	156.000000	149.000000	157.000000
5	1000	16	200	148.000000	153.000000	153.000000	152.000000	153.000000
6	1000	16	200	142.000000	133.000000	145.000000	142.000000	144.000000
7	1000	16	200	136.000000	138.000000	134.000000	133.000000	136.000000
8	1000	16	200	143.000000	142.000000	137.000000	137.000000	138.000000
9	1000	16	200	140.000000	140.000000	140.000000	139.000000	137.000000
10	1000	16	200	146.000000	151.000000	152.000000	151.000000	141.000000
11	1000	16	200	142.000000	145.000000	146.000000	141.000000	142.000000
12	1000	16	200	138.000000	142.000000	143.000000	145.000000	145.000000
13	1000	16	200	147.000000	145.000000	145.000000	147.000000	148.000000
14	1000	16	200	146.000000	145.000000	142.000000	143.000000	150.000000
15	1000	16	200	146.000000	145.000000	146.000000	145.000000	146.000000
16	1000	16	200	144.000000	143.000000	146.000000	146.000000	144.000000
17	1000	16	200	157.000000	156.000000	155.000000	154.000000	157.000000
18	1000	16	200	139.000000	139.000000	138.000000	140.000000	139.000000
19	1000	16	200	149.000000	145.000000	149.000000	150.000000	148.000000
20	1000	16	200	129.000000	130.000000	135.000000	136.000000	136.000000
21	1000	16	200	146.000000	148.000000	147.000000	143.000000	149.000000
22	1000	16	200	150.000000	148.000000	151.000000	151.000000	151.000000
23	1000	16	200	142.000000	141.000000	143.000000	140.000000	141.000000
24	1000	16	200	143.000000	142.000000	145.000000	144.000000	144.000000
25	1000	16	200	140.000000	141.000000	139.000000	140.000000	139.000000
26	1000	16	200	138.000000	140.000000	139.000000	142.000000	144.000000
27	1000	16	200	144.000000	147.000000	147.000000	147.000000	145.000000
28	1000	16	200	142.000000	136.000000	133.000000	136.000000	138.000000
29	1000	16	200	142.000000	144.000000	143.000000	142.000000	144.000000
30	1000	16	200	132.000000	134.000000	135.000000	136.000000	136.000000
1	1000	32	200	129.000000	125.000000	126.000000	123.000000	124.000000
2	1000	32	200	139.000000	137.000000	135.000000	134.000000	138.000000
3	1000	32	200	131.000000	130.000000	116.000000	124.000000	121.000000
4	1000	32	200	120.000000	122.000000	108.000000	123.000000	121.000000
5	1000	32	200	118.000000	123.000000	123.000000	111.000000	125.000000
6	1000	32	200	114.000000	126.000000	123.000000	119.000000	127.000000
7	1000	32	200	111.000000	121.000000	116.000000	130.000000	134.000000
8	1000	32	200	124.000000	121.000000	122.000000	123.000000	125.000000
9	1000	32	200	118.000000	127.000000	128.000000	126.000000	128.000000
10	1000	32	200	119.000000	126.000000	121.000000	121.000000	130.000000
11	1000	32	200	110.000000	132.000000	130.000000	128.000000	130.000000
12	1000	32	200	122.000000	116.000000	118.000000	107.000000	115.000000
13	1000	32	200	128.000000	112.000000	127.000000	118.000000	126.000000
14	1000	32	200	116.000000	113.000000	118.000000	116.000000	120.000000
15	1000	32	200	118.000000	124.000000	124.000000	126.000000	122.000000
16	1000	32	200	117.000000	119.000000	116.000000	125.000000	123.000000
17	1000	32	200	124.000000	126.000000	128.000000	128.000000	129.000000
18	1000	32	200	117.000000	127.000000	128.000000	117.000000	128.000000
19	1000	32	200	119.000000	116.000000	121.000000	124.000000	111.000000
20	1000	32	200	131.000000	132.000000	134.000000	129.000000	134.000000
21	1000	32	200	129.000000	111.000000	121.000000	130.000000	129.000000
22	1000	32	200	132.000000	130.000000	132.000000	133.000000	131.000000
23	1000	32	200	124.000000	125.000000	121.000000	127.000000	126.000000
24	1000	32	200	123.000000	127.000000	124.000000	116.000000	130.000000
25	1000	32	200	114.000000	127.000000	129.000000	124.000000	125.000000
26	1000	32	200	120.000000	121.000000	121.000000	125.000000	118.000000
27	1000	32	200	132.000000	129.000000	132.000000	134.000000	132.000000
28	1000	32	200	128.000000	129.000000	126.000000	118.000000	126.000000
29	1000	32	200	121.000000	118.000000	124.000000	124.000000	123.000000
30	1000	32	200	131.000000	127.000000	128.000000	136.000000	136.000000
1	2000	2	400	1025.000000	1025.000000	1025.000000	1025.000000	1025.000000
2	2000	2	400	1024.000000	1024.000000	1024.000000	1024.000000	1024.000000
3	2000	2	400	1045.000000	1045.000000	1045.000000	1045.000000	1045.000000
4	2000	2	400	1029.000000	1029.000000	1029.000000	1029.000000	1029.000000
5	2000	2	400	1035.000000	1035.000000	1035.000000	1035.000000	1035.000000
6	2000	2	400	1036.000000	1036.000000	1036.000000	1036.000000	1036.000000
7	2000	2	400	1053.000000	1053.000000	1053.000000	1053.000000	1053.000000
8	2000	2	400	1083.000000	1083.000000	1083.000000	1083.000000	1083.000000
9	2000	2	400	1038.000000	1038.000000	1038.000000	1038.000000	1038.000000
10	2000	2	400	1029.000000	1029.000000	1029.000000	1029.000000	1029.000000
11	2000	2	400	1041.000000	1041.000000	1041.000000	1041.000000	1041.000000
12	2000	2	400	1028.000000	1028.000000	1028.000000	1028.000000	1028.000000
13	2000	2	400	1023.000000	1023.000000	1023.000000	1023.000000	1023.000000
14	2000	2	400	1031.000000	1031.000000	1031.000000	1031.000000	1031.000000
15	2000	2	400	1032.000000	1032.000000	1032.000000	1032.000000	1032.000000
16	2000	2	400	1038.000000	1038.000000	1038.000000	1038.000000	1038.000000
17	2000	2	400	1054.000000	1054.000000	1054.000000	1054.000000	1054.000000
18	2000	2	400	1066.000000	1066.000000	1066.000000	1066.000000	1066.000000
19	2000	2	400	1075.000000	1075.000000	1075.000000	1075.000000	1075.000000
20	2000	2	400	1043.000000	1043.000000	1043.000000	1043.000000	1043.000000
21	2000	2	400	1041.000000	1041.000000	1041.000000	1041.000000	1041.000000
22	2000	2	400	1036.000000	1036.000000	1036.000000	1036.000000	1036.000000
23	2000	2	400	1064.000000	1064.000000	1064.000000	1064.000000	1064.000000
24	2000	2	400	1041.000000	1041.000000	1041.000000	1041.000000	1041.000000
25	2000	2	400	1045.000000	1045.000000	1045.000000	1045.000000	1045.000000
26	2000	2	400	1030.000000	1030.000000	1030.000000	1030.000000	1030.000000
27	2000	2	400	1041.000000	1041.000000	1041.000000	1041.000000	1041.000000
28	2000	2	400	1050.000000	1050.000000	1050.000000	1050.000000	1050.000000
29	2000	2	400	1025.000000	1025.000000	1025.000000	1025.000000	1025.000000
30	2000	2	400	1051.000000	1051.000000	1051.000000	1051.000000	1051.000000
1	2000	4	400	563.000000	563.000000	563.000000	566.000000	566.000000
2	2000	4	400	570.000000	570.000000	570.000000	570.000000	570.000000
3	2000	4	400	552.000000	552.000000	553.000000	552.000000	552.000000
4	2000	4	400	573.000000	573.000000	573.000000	573.000000	573.000000
5	2000	4	400	583.000000	586.000000	583.000000	586.000000	583.000000
6	2000	4	400	574.000000	574.000000	574.000000	574.000000	574.000000
7	2000	4	400	574.000000	574.000000	574.000000	574.000000	574.000000
8	2000	4	400	571.000000	571.000000	571.000000	571.000000	571.000000
9	2000	4	400	564.000000	564.000000	564.000000	564.000000	564.000000
10	2000	4	400	575.000000	575.000000	575.000000	575.000000	575.000000
11	2000	4	400	574.000000	574.000000	574.000000	574.000000	574.000000
12	2000	4	400	560.000000	561.000000	561.000000	561.000000	561.000000
13	2000	4	400	570.000000	570.000000	570.000000	570.000000	570.000000
14	2000	4	400	584.000000	584.000000	584.000000	584.000000	584.000000
15	2000	4	400	579.000000	579.000000	579.000000	579.000000	579.000000
16	2000	4	400	565.000000	565.000000	565.000000	565.000000	565.000000
17	2000	4	400	566.000000	566.000000	566.000000	566.000000	566.000000
18	2000	4	400	587.000000	587.000000	587.000000	587.000000	587.000000
19	2000	4	400	578.000000	578.000000	578.000000	578.000000	578.000000
20	2000	4	400	576.000000	576.000000	576.000000	576.000000	576.000000
21	2000	4	400	568.000000	568.000000	568.000000	568.000000	568.000000
22	2000	4	400	568.000000	568.000000	568.000000	568.000000	568.000000
23	2000	4	400	567.000000	567.000000	567.000000	567.000000	567.000000
24	2000	4	400	581.000000	581.000000	581.000000	581.000000	581.000000
25	2000	4	400	591.000000	591.000000	591.000000	591.000000	591.000000
26	2000	4	400	574.000000	572.000000	574.000000	574.000000	572.000000
27	2000	4	400	577.000000	577.000000	577.000000	577.000000	577.000000
28	2000	4	400	574.000000	574.000000	574.000000	574.000000	574.000000
29	2000	4	400	563.000000	567.000000	567.000000	567.000000	567.000000
30	2000	4	400	568.000000	568.000000	568.000000	568.000000	568.000000
1	2000	8	400	340.000000	340.000000	340.000000	340.000000	340.000000
2	2000	8	400	349.000000	347.000000	349.000000	347.000000	348.000000
3	2000	8	400	335.000000	335.000000	335.000000	334.000000	335.000000
4	2000	8	400	333.000000	335.000000	333.000000	333.000000	333.000000
5	2000	8	400	340.000000	339.000000	337.000000	337.000000	339.000000
6	2000	8	400	338.000000	338.000000	338.000000	340.000000	339.000000
7	2000	8	400	345.000000	345.000000	345.000000	345.000000	345.000000
8	2000	8	400	343.000000	342.000000	344.000000	343.000000	344.000000
9	2000	8	400	343.000000	346.000000	346.000000	346.000000	346.000000
10	2000	8	400	356.000000	356.000000	356.000000	356.000000	356.000000
11	2000	8	400	346.000000	347.000000	347.000000	347.000000	347.000000
12	2000	8	400	341.000000	338.000000	333.000000	341.000000	341.000000
13	2000	8	400	345.000000	344.000000	344.000000	340.000000	344.000000
