alpha_1=0.25
alpha_2=0.25
alpha_2=0.25
alpha_4=0.25
beta_1=0.083
beta_2=0.1
beta_2=0.1
beta_2=0.002
beta_2=0.486
1000,0.086,0.002,0.002,0.486
1011,0.167,0.200,0.002,0.486
1012,0.167,0.200,0.002,0.486
1013,0.083,0.289,0.001,0.486
1014,0.250,0.147,0.001,0.486
1015,0.083,0.200,0.002,0.486
1016,0.167,0.200,0.001,0.486
1017,0.083,0.289,0.001,0.486
1018,0.167,0.200,0.002,0.486
1019,0.083,0.289,0.001,0.486
1020,0.167,0.200,0.002,0.486
1021,0.083,0.289,0.001,0.486
1022,0.167,0.200,0.002,0.486
1023,0.083,0.289,0.001,0.486
1024,0.167,0.200,0.002,0.486
1025,0.083,0.289,0.001,0.486
1026,0.167,0.200,0.002,0.486
1027,0.083,0.289,0.001,0.486
1028,0.167,0.200,0.002,0.486
1029,0.083,0.289,0.001,0.486
1030,0.167,0.200,0.002,0.486
1031,0.083,0.289,0.001,0.486
1032,0.167,0.200,0.002,0.486
1033,0.083,0.289,0.001,0.486
1034,0.167,0.200,0.002,0.486
1035,0.083,0.289,0.001,0.486
1036,0.167,0.200,0.002,0.486
1037,0.083,0.289,0.001,0.486
1038,0.167,0.200,0.002,0.486
1039,0.083,0.289,0.001,0.486
1040,0.167,0.200,0.002,0.486
1041,0.083,0.289,0.001,0.486
1042,0.167,0.200,0.002,0.486
1043,0.083,0.289,0.001,0.486
1044,0.167,0.200,0.002,0.486
1045,0.083,0.289,0.001,0.486
1046,0.167,0.200,0.002,0.486
1047,0.083,0.289,0.001,0.486
1048,0.167,0.200,0.002,0.486
1049,0.083,0.289,0.001,0.486
1050,0.167,0.200,0.002,0.486
1051,0.083,0.289,0.001,0.486
1052,0.167,0.200,0.002,0.486
1053,0.083,0.289,0.001,0.486
1049,0.083,0.200,0.002,0.486
1055,0.167,0.200,0.001,0.486
1056,0.083,0.289,0.001,0.486
1057,0.083,0.289,0.001,0.486
1058,0.167,0.200,0.002,0
