alpha_1=0.25
alpha_2=0.25
alpha_4=0.25
alpha_2=0.25
beta_1=0.333
beta_2=0.333
beta_3=0.333
beta_4=0.333
beta_5=0.033
976,0.033
977,0.034
978,0.035
979,0.036
980,0.037
981,0.038
982,0.039
983,0.040
984,0.041
985,0.042
986,0.043
987,0.044
988,0.045
989,0.046
990,0.047
991,0.048
992,0.049
993,0.050
994,0.051
995,0.052
996,0.053
997,0.054
998,0.055
999,0.056
1000,0.057
1010,0.058
1011,0.059
1020,0.060
1030,0.061
1040,0.062
1050,0.063
1060,0.064
1070,0.065
1080,0.066
1090,0.067
1100,0.068
1110,0.069
1120,0.070
1130,0.071
1140,0.072
1150,0.073
1160,0.074
1170,0.075
1180,0.076
1190,0.077
1200,0.078
1210,0.079
1220,0.080
1230,0.081
1240,0.082
1250,0.083
1260,0.084
1270,0.085
1280,0.086
1290,0.087
1300,0.088
1310,0.089
1320,0.090
1330,0.091
1340,0.092
1350,0.093
1360,0.094
1370,0.095
1380,0.096
1390,0.097
1400,0.098
1410,0.099
1420,0.100
1430,0.101
1440,0.102
1450,0.103
1460,0.104
1470,0.105
1480,0.106
1490,0.107
1500,0.108
1550,0.109
1560,0.110
1570,0.111
1580,0.112
1590,0.113
1600,0.114
1610,0.115
1620,0.116
1630,0.117
1640,0.118
1650,0.119
1660,0.120
1670,0.121
1680,0.122
1690,0.123
1700,0.124
1750.083
0.333,0.334
0.334,0.335
0.335,0.036
0.036,0.037
0.037,0.038
0.038,0.039
0.039,0.040
0.040,0.041
0.041,0.042
0.042,0.043
0.043,0.044
0.044,0.045
0.045,0.046
0.046,0.047
0.047,0.048
0.048,0.049
0.049,0.050
0.050,0.051
0.051,0.052
0.052,0.053
0.053,0.054
0.054,0.055
0.055,0.056
0.056,0.057
0.057,0.058
0.058,0.059
0.059,0.060
0.060,0.061
0.061,0.062
0.062,0.063
0.063,0.064
0.064,0.065
0.065,0.066
0.066,0.067
0.067,0.068
0.068,0.069
0.069,0.070
0.070,0.071
