alpha_1=0.25
alpha_2=0.25
alpha_4=0.25
alpha_3=0.25
beta_1=0.333
beta_2=0.333
beta_2=0.333
beta_4=0.333
beta_3=0.333
beta_1=0.333
beta_2=0.034
beta_3=0.034
beta_4=0.034

958,0.333,0.106,0.008,0.026
959,0.333,0.195,0.004,0.026
960,0.333,0.195,0.004,0.031
961,0.333,0.106,0.008,0.031
962,0.333,0.195,0.004,0.031
963,0.333,0.106,0.008,0.031
964,0.333,0.195,0.004,0.031
965,0.333,0.106,0.008,0.031
966,0.333,0.106,0.008,0.031
967,0.333,0.106,0.008,0.031
968,0.333,0.106,0.008,0.031
969,0.333,0.106,0.008,0.031
970,0.333,0.106,0.008,0.031
971,0.333,0.106,0.008,0.031
972,0.333,0.106,0.008,0.031
973,0.333,0.106,0.008,0.031
974,0.333,0.106,0.008,0.031
975,0.333,0.106,0.008,0.031
976,0.333,0.106,0.008,0.031
977,0.333,0.106,0.008,0.031
978,0.333,0.106,0.008,0.031
979,0.333,0.106,0.008,0.031
980,0.333,0.106,0.008,0.031
981,0.333,0.106,0.008,0.031
982,0.333,0.106,0.008,0.031
983,0.333,0.106,0.008,0.031
984,0.333,0.106,0.008,0.031
985,0.333,0.106,0.008,0.031
986,0.333,0.106,0.008,0.031
987,0.333,0.106,0.008,0.031
988,0.333,0.106,0.008,0.031
989,0.333,0.106,0.008,0.031
990,0.333,0.106,0.008,0.031
991,0.333,0.106,0.008,0.031
992,0.333,0.106,0.008,0.031
993,0.333,0.106,0.008,0.031
994,0.333,0.106,0.008,0.031
995,0.333,0.106,0.008,0.031
996,0.333,0.106,0.008,0.031
997,0.333,0.106,0.008,0.031
998,0.333,0.106,0.008,0.031
999,0.333,0.106,0.008,0.031
1000,0.333,0.106,0.008,0.031
1011,0.333,0.106,0.008,0.031
1020,0.333,0.106,0.008,0.031
1030,0.333,0.106,0.008,0.031
1040,0.333,0.106,0.008,0.031
1041,0.333,0.106,0.008,0.031
1042,0.333,0.106,0.008,0.031
1043,0.333,
